School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,Decile,Total School Roll,European / Pakeha,Maori,Pasifika,Asian,MELAA,Other,International
2206,Norfolk School,06 756 8306,06 756 8648,principal@norfolk.school.nz,Andrew Georgeson,http://www.norfolk.school.nz,6 Norfolk Road,,Inglewood,6 Norfolk Road Lower RD 8,,Inglewood,4388,Rural Area,Full Primary,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Taranaki-King Country,Te Tai Hauauru,Kaimata,South-West Ward,99059,Kahui Ako o te Kohanga Moa – Inglewood Community of Learning,174.231892,-39.200784,9,158,112,38,0,7,1,0,0
2207,Normanby School,06 272 8023,06 272 8023,admin@normanby.school.nz,Janelle Jones,http://www.normanby.school.nz,3 Hunter Street,,Normanby,3 Hunter Street,Normanby,Hawera,4614,Secondary Urban Area,Contributing,Not Applicable,State,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Normanby,Hawera-Normanby Ward,99167,South Taranaki - Hawera Community of Learning,174.27288,-39.54089,5,153,66,85,0,0,2,0,0
2208,Oakura School,06 752 7719,06 752 7951,office@oakura.school.nz,Lynnette Hepworth ,http://www.oakura.school.nz,16 Donnelly Street,,New Plymouth,16 Donnelly Street,,New Plymouth,4314,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Oakura,New Plymouth City Ward,,,173.958018,-39.118917,10,335,245,45,5,8,6,26,0
2214,Omata School,06 751 2308,,office@omata.school.nz,Karen Brisco,http://www.omata.school.nz/,Holloway Road,Omata,New Plymouth,Holloway Road RD 4,,New Plymouth,4374,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Omata,New Plymouth City Ward,,,174.01991,-39.093951,10,155,141,7,1,4,1,1,0
2215,Ongarue School,07 894 5992,07 894 8959,office@ongarue.school.nz,Peggy Carmichael,,Ongarue Village Road,,Ongarue,Ongarue Village Road RD 1,,Ongarue,3997,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Otangiwai-Heao,Ohura Ward,,,175.288157,-38.712403,2,24,10,14,0,0,0,0,0
2216,Opunake School,06 761 8367,06 761 8367,office@opunakeprimary.school.nz,Lorraine Williamson,https://sites.google.com/a/opunakeprimary.school.nz/opunake-school/home,Gisborne Terrace,,Opunake,P O Box 49,,Opunake,4645,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Opunake,Egmont Plains Ward,,,173.854785,-39.449975,6,206,101,95,2,6,1,1,0
2220,Pembroke School,06 765 7944,,admin@pembrokestratford.school.nz,Junior Togia,http://www.pembrokestratford.school.nz,Monmouth Road,,Stratford,Monmouth Road RD 24,,Stratford,4394,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Stratford District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Taranaki-King Country,Te Tai Hauauru,Pembroke,Stratford Rural Ward,99108,Central Taranaki Community of Learning,174.229135,-39.322739,6,80,59,14,5,1,1,0,0
2223,Puketapu School (New Plymouth),06 755 0973,,office@puketapu.school.nz,Ngatai Walker,http://www.puketapu.school.nz,Dillon Drive,Bell Block,New Plymouth,Dillon Drive,Bell Block,New Plymouth,4312,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Bell Block,New Plymouth City Ward,99163,Central New Plymouth Community of Learning,174.151629,-39.025257,4,306,126,135,14,13,8,10,0
2226,Ramanui School,06 278 7412,06 278 5163,admin@ramanui.school.nz,Kathryn Moss,http://ramanuischool.weebly.com/,85 Fairfield Road,,Hawera,P O Box 308,,Hawera,4640,Secondary Urban Area,Contributing,Not Applicable,State,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Hawera South,Hawera-Normanby Ward,99167,South Taranaki - Hawera Community of Learning,174.280051,-39.599619,2,70,10,58,1,1,0,0,0
2227,Ratapiko School,06 762 4818,06 762 4819,admin@ratapiko.school.nz,Lisa Hill,,4 Ratapiko Road,,Ratapiko,4 Ratapiko Road RD 10,,Inglewood,4390,Rural Area,Full Primary,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Taranaki-King Country,Te Tai Hauauru,Kaimata,South-West Ward,99059,Kahui Ako o te Kohanga Moa – Inglewood Community of Learning,174.322325,-39.20033,7,26,26,0,0,0,0,0,0
2228,Rawhitiroa School,06 764 8939,06 764 8939,rawhiti@rawhitiroa.school.nz,Janice Westfield,http://www.rawhitiroa.school.nz,596 Rawhitiroa Road,,Eltham,596 Rawhitiroa Road RD 18,,Eltham,4398,Rural Area,Full Primary,Not Applicable,State,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Mangatoki-Moeroa,Eltham Ward,99108,Central Taranaki Community of Learning,174.360466,-39.424228,8,33,22,9,2,0,0,0,0
2232,Spotswood Primary School,06 751 1331,06 751 1330,office@spotswoodprimary.co.nz,Mark Fisher,http://www.spotswoodprimary.co.nz,177 South Road,,New Plymouth,177 South Road,Spotswood,New Plymouth,4310,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Spotswood,New Plymouth City Ward,,,174.034114,-39.073657,4,277,145,106,17,7,2,0,0
2233,St John Bosco School (New Plymouth),06 758 3165,06 758 9169,office@sjb.school.nz,Dee Luckin,http://www.sjb.school.nz,21 Clinton Street,,New Plymouth,21 Clinton Street,Fitzroy,New Plymouth,4312,Main Urban Area,Contributing,Not Applicable,State : Integrated,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Fitzroy,New Plymouth City Ward,,,174.102278,-39.051143,8,259,173,39,11,26,9,1,0
2235,St Joseph's School (Hawera),06 278 7482,06 278 7492,admin@sjh.school.nz,Catherine Clough,http://www.sjh.school.nz,32 Victoria Street,,Hawera,32 Victoria Street,,Hawera,4610,Secondary Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Hawera South,Hawera-Normanby Ward,99167,South Taranaki - Hawera Community of Learning,174.280071,-39.589682,6,272,217,36,2,11,4,2,0
2236,St Joseph's School (New Plymouth),06 758 0364,06 758 0364,admin@stjosephsnp.school.nz,Michael Dowd,http://www.stjosephsnp.school.nz,41A Calvert Road,,New Plymouth,41 Calvert Road,Lynmouth,New Plymouth,4310,Main Urban Area,Contributing,Not Applicable,State : Integrated,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Lynmouth,New Plymouth City Ward,,,174.050768,-39.063408,8,279,163,54,13,38,9,2,0
2237,St Joseph's School (Opunake),06 761 8388,06 761 8388,office@stjo.school.nz,Margaret Duynhoven,http://www.stjo.school.nz/,Allison Street,,Opunake,P O Box 23,,Opunake,4645,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Opunake,Egmont Plains Ward,,,173.859687,-39.449516,6,95,52,26,2,15,0,0,0
2238,St Joseph's School (Stratford),06 765 5650,06 765 5650,admin@stjosephs-stratford.school.nz,Chris Linders,http://www.stjosephs-stratford.school.nz,93 Miranda Street,,Stratford,93 Miranda Street,,Stratford,4332,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Stratford District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Stratford West,Stratford Urban Ward,99108,Central Taranaki Community of Learning,174.284851,-39.344073,6,232,187,35,1,7,2,0,0
2239,St Joseph's School (Waitara),06 754 7797,06 754 7767,office@sjw.school.nz,Moya Christophers,,21 Nelson Street,,Waitara,P O Box 103,,Waitara,4346,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Waitara West,North Ward,,,174.229207,-39.006109,3,104,57,45,0,1,1,0,0
2240,St Patrick's School (Kaponga),06 764 6563,06 764 6560,office@stpatskaponga.school.nz,Suzanne Harrison,,71 Victoria Street,,Kaponga,P O Box 170,,Kaponga,4642,Rural Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Kaponga,Eltham Ward,99167,South Taranaki - Hawera Community of Learning,174.151078,-39.429391,5,18,11,4,0,3,0,0,0
2241,St Patrick's School (Inglewood),06 756 7908,06 756 7902,office@stpatsinglewood.school.nz,Sarah Horton-Morris,,53 Standish Street,,Inglewood,P O Box 2,,Inglewood,4347,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Taranaki-King Country,Te Tai Hauauru,Inglewood,South-West Ward,99059,Kahui Ako o te Kohanga Moa – Inglewood Community of Learning,174.209938,-39.158502,6,83,66,11,0,6,0,0,0
2242,St Pius X School (New Plymouth),06 753 4257,,office@stpiusx.school.nz,Anna Wormald,http://www.stpiusx.school.nz,120 Brooklands Road,,New Plymouth,120 Brooklands Road,Brooklands,New Plymouth,4310,Main Urban Area,Contributing,Not Applicable,State : Integrated,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Struan Park,New Plymouth City Ward,,,174.083019,-39.07539,9,165,128,23,3,9,2,0,0
2244,Stratford School,06 765 6938,06 765 6933,principal@sps.kiwi.nz,Jason Elder,http://stratfordprimary.school.nz/,Regan Street,,Stratford,Regan Street,,Stratford,4332,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Stratford District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Stratford West,Stratford Urban Ward,99108,Central Taranaki Community of Learning,174.278697,-39.339603,5,425,289,114,9,11,2,0,0
2248,Tawhiti School,06 278 7117,06 278 7117,jogi@tawhiti.school.nz,Christine Riley,http://www.tawhiti.school.nz,Galt Street,,Hawera,16 Galt Street,,Hawera,4610,Secondary Urban Area,Contributing,Not Applicable,State,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Hawera North,Hawera-Normanby Ward,99167,South Taranaki - Hawera Community of Learning,174.288885,-39.581157,6,295,159,124,0,9,3,0,0
2251,Tikorangi School,06 754 6634,,office@tikorangi.school.nz,Paul Johnson,http://www.tikorangi.school.nz,356 Ngatimaru Road,,Waitara,356 Ngatimaru Road RD 43,,Waitara,4383,Rural Area,Contributing,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Taranaki-King Country,Te Tai Hauauru,Okoki-Okau,North Ward,,,174.27925,-39.034254,4,171,111,56,0,0,1,3,0
2253,Tokirima School,07 893 8834,07 893 8841,admin@tokirima.school.nz,Michaela Phillips,http://www.tokirimaschool.co.nz,Tokirima Road,Tokirima,Taumarunui,Tokirima Road RD 1,,Taumarunui,3991,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Otangiwai-Heao,Ohura Ward,,,175.01231,-38.939052,9,13,13,0,0,0,0,0,0
2254,Toko School,06 762 2849,06 762 2830,office@toko.school.nz,Kim Waite,http://www.toko.school.nz,State Highway 43,,Stratford,1057 East Road RD 22,,Stratford,4392,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Stratford District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Taranaki-King Country,Te Tai Hauauru,Douglas,Stratford Rural Ward,99108,Central Taranaki Community of Learning,174.407666,-39.324463,7,141,130,11,0,0,0,0,0
2255,Turuturu School,06 278 2200,06 278 2201,admin@turuturu.school.nz,Richard Bradley ,http://www.turuturu.school.nz,194 Glover Road,,Hawera,194 Glover Road,,Hawera,4610,Secondary Urban Area,Contributing,Not Applicable,State,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Hawera West,Hawera-Normanby Ward,99167,South Taranaki - Hawera Community of Learning,174.269433,-39.572082,5,242,149,77,1,8,7,0,0
2256,Urenui School,06 752 3857,06 752 3463,office@urenui.school.nz,Karin Jury,http://www.urenui.school.nz,Takiroa Street,Urenui,New Plymouth,P O Box 240,,Urenui,4349,Rural Area,Contributing,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Taranaki-King Country,Te Tai Hauauru,Urenui,North Ward,,,174.390117,-38.999209,5,83,50,28,0,5,0,0,0
2257,Uruti School,06 752 6841,06 752 6841,office@uruti.school.nz,Pauline Sutton,,11 Uruti Road,,New Plymouth,11 Uruti Road RD 48,,Urenui,4378,Rural Area,Full Primary,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Taranaki-King Country,Te Tai Hauauru,Okoki-Okau,North Ward,,,174.52966,-38.944845,4,11,10,1,0,0,0,0,0
2258,Vogeltown School,06 753 6843,,office@vogeltown.school.nz,Jeremy Ogle,http://www.vogeltown.school.nz,37 Huatoki Street,Vogeltown,New Plymouth,37 Huatoki Street,Vogeltown,New Plymouth,4310,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Struan Park,New Plymouth City Ward,99163,Central New Plymouth Community of Learning,174.077899,-39.079675,6,343,233,84,4,11,9,2,0
2260,Waitara Central School,06 754 7716,06 754 7938,office@waitaracentral.school.nz,Sharren Read,,12 Cracroft Street,,Waitara,P O Box 218,,Waitara,4346,Minor Urban Area,Contributing,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Waitara West,North Ward,,,174.233298,-39.004424,2,85,25,53,4,1,0,2,0
2261,Waitara East School,06 754 8334,06 754 4732,office@waitaraeast.school.nz,Perrie Topia,http://www.waitaraeast.school.nz,Richmond Street,,Waitara,P O Box 106,,Waitara,4346,Minor Urban Area,Contributing,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Waitara East,North Ward,,,174.243854,-38.99398,2,269,42,211,14,2,0,0,0
2262,Waitoriki School,06 756 7056,06 756 7056,,Teresa Jones,,Lincoln Road,,Inglewood,Lincoln Road RD 9,,Inglewood,4389,Rural Area,Full Primary,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Taranaki-King Country,Te Tai Hauauru,Kaimata,South-West Ward,99059,Kahui Ako o te Kohanga Moa – Inglewood Community of Learning,174.244444,-39.134057,7,26,20,6,0,0,0,0,0
2264,Welbourn School,06 757 5810,06 758 6980,office@welbourn.school.nz,John Carr (Acting),http://www.welbourn.school.nz/,Arawa Street,,New Plymouth,Arawa Street,Welbourn,New Plymouth,4312,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Welbourn,New Plymouth City Ward,99163,Central New Plymouth Community of Learning,174.092675,-39.072168,8,370,269,66,7,18,7,3,0
2265,West End Te Kura O Morere,06 758 9331,06 758 9329,office@westendnp.school.nz,Michael Clarke,http://www.westendnp.school.nz,Bonithon Avenue,,New Plymouth,Bonithon Avenue,Moturoa,New Plymouth,4310,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Moturoa,New Plymouth City Ward,,,174.055625,-39.062198,6,361,209,111,7,29,5,0,0
2266,Westown School,06 753 4939,06 753 7041,principal@westown.school.nz,Kim Theyers,http://www.westown.school.nz,Sanders Avenue,,New Plymouth,P O Box 5056,Westown,New Plymouth,4343,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Westown,New Plymouth City Ward,,,174.063477,-39.072671,3,115,64,38,5,8,0,0,0
2267,Whareorino School,06 752 9850,,principal@whareorino.school.nz,Wendy Single,http://www.whareorino.school.nz/,8 Waikawau Beach Road,Awakino,North Taranaki,Private Bag 19,,Mokau,4350,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Waitomo District,Waikato Region,Whanganui,Taranaki/Whanganui/Manawatu,Taranaki-King Country,Te Tai Hauauru,Mahoenui,Waitomo Rural Ward,,,174.679813,-38.471893,9,11,6,5,0,0,0,0,0
2268,Woodleigh School,06 753 9585,06 753 5778,office@woodleigh.school.nz,Clyde Pearce,http://www.woodleigh.school.nz,85 Brois Street,,New Plymouth,85 Brois Street,Frankleigh Park,New Plymouth,4310,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,New Plymouth District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,New Plymouth,Te Tai Hauauru,Frankleigh,New Plymouth City Ward,99163,Central New Plymouth Community of Learning,174.066035,-39.081565,7,407,308,75,7,7,7,3,0
2330,Aberfeldy School,06 342 5757,06 342 5759,aberfeldy.class@xtra.co.nz,Frances Lambert,http://www.aberfeldy.school.nz/,Parapara Highway,,Whanganui,Parapara Road RD 3,,Whanganui,4573,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Fordell-Kakatahi,Area Outside Ward,,,175.261856,-39.787142,2,17,10,7,0,0,0,0,0
2332,Aokautere School,06 357 4611,06 357 4116,office@aokautere.school.nz,Jared Ratana,http://www.aokautere.school.nz,Fitzherbert East Road,Aokautere,Palmerston North,169 Fitzherbert East Road RD 1,,Palmerston North,4471,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Aokautere,Area Outside Ward,99166,Palmerston North City & Rural Schools Community of Learning Two,175.66447,-40.363623,10,113,82,16,2,10,2,1,0
2333,Apiti School,06 328 4884,,christinedigby@apiti.school.nz,Mary Cuming,http://www.apiti.school.nz,11 Bryce Street,,Apiti,11 Bryce Street RD 1,,Apiti,4771,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Pohangina,Northern Manawatu Rural Ward,99134,Feilding Community of Learning,175.873405,-39.972505,9,27,24,2,1,0,0,0,0
2334,Arahunga School,06 348 7139,06 348 7149,arahungaoffice@welearn.school.nz,Daniel Price,http://www.arahunga.co.nz,1 Poynter Place,Gonville,Whanganui,1 Poynter Place,Gonville,Whanganui,4501,Main Urban Area,Special School,School for pupils with intellectual impairments,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Gonville East,Area Outside Ward,,,175.03077,-39.939081,3,62,35,24,1,1,0,1,0
2336,Aranui School (Wanganui),06 344 6183,06 344 6186,office@aranui-primary.school.nz,Maryann Roberts,,Aranui Avenue,Castlecliff,Whanganui,Aranui Avenue,Castlecliff,Whanganui,4501,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Castlecliff North,Area Outside Ward,,,174.979866,-39.930184,1,62,18,39,2,2,1,0,0
2337,Ashhurst School,06 326 8299,06 326 8294,office@ashhurst.school.nz,Heath Chittenden,http://www.ashhurst.school.nz,96 Cambridge Avenue,,Ashhurst,96 Cambridge Avenue,,Ashhurst,4810,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Ashhurst,Area Outside Ward,99052,Palmerston North East Community of Learning,175.755127,-40.290704,7,429,296,108,7,7,4,7,0
2338,Awahou School,06 329 4844,06 329 4836,awahouoffice@awahou.school.nz,Matt Schmidt ,http://www.awahou.school.nz,518 Pohangina Valley East Rd,,Ashhurst,518 Pohangina Valley East Road RD 14,,Ashhurst,4884,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Pohangina,Northern Manawatu Rural Ward,,,175.811742,-40.177356,7,34,25,8,0,0,0,1,0
2339,Awapuni School (P.North),06 358 1735,06 358 1737,admin@awapuni-primary.school.nz,Stephen Soutar,http://www.awapuni-primary.school.nz,18 Rochester Street,Awapuni,Palmerston North,18 Rochester Street,Awapuni,Palmerston North,4412,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Awapuni North,Area Outside Ward,99166,Palmerston North City & Rural Schools Community of Learning Two,175.587987,-40.372503,2,95,14,53,16,11,1,0,0
2341,Bainesse School,06 329 6856,06 329 6896,admin@bainesse.school.nz,Carwyn Caffell,http://www.bainesse.school.nz,576 State Highway 56,,Palmerston North,576 Rangiotu Road RD 7,,Palmerston North,4477,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Oroua Downs-Waitohi,Southern Manawatu Rural Ward,,,175.377492,-40.408715,5,46,29,15,1,0,1,0,0
2342,Brunswick School,06 342 1841,06 342 1014,principal@brunswick.school.nz,Jan Clark,http://www.brunswick.school.nz,Campbell Road,,Whanganui,Campbell Road RD 1,,Whanganui,4571,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Maxwell,Area Outside Ward,,,175.02456,-39.843836,7,82,73,6,1,2,0,0,0
2343,Bulls School,06 322 1184,06 322 0918,office@bulls.school.nz,Kim Gordon,http://www.bulls.school.nz,Bridge Street,,Bulls,Bridge Street,,Bulls,4818,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Bulls,Bulls Ward,99078,South Rangitikei Community of Learning,175.385156,-40.16874,5,185,116,56,11,2,0,0,0
2344,Bunnythorpe School,06 329 2777,06 329 2777,office@bunnythorpe.school.nz,Margaret Sutherland,http://bunnythorpe.ultranet.school.nz,Baring Street,,Bunnythorpe,P O Box 471,,Bunnythorpe,4867,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Stoney Creek,Area Outside Ward,99134,Feilding Community of Learning,175.633029,-40.282352,4,25,18,6,0,1,0,0,0
2345,Carlton School,06 345 0336,06 345 0336,carltonoffice@welearn.school.nz,Gaye O'Connor,http://www.carltonschool.co.nz,99A Carlton Avenue,Gonville,Whanganui,99A Carlton Avenue,Tawhero,Whanganui,4501,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Gonville East,Area Outside Ward,,,175.030805,-39.93517,3,311,174,99,18,14,4,0,2
2346,Castlecliff School,06 344 4537,06 344 4524,office@castlecliff.school.nz,Katherine Ellery,,Polson Street,Castlecliff,Whanganui,Polson Street,Castlecliff,Whanganui,4501,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Castlecliff South,Area Outside Ward,,,174.992102,-39.940474,1,175,60,104,7,3,1,0,0
2348,Churton School,06 343 9406,06 343 9246,office@churton.school.nz,Andrew Spence,http://www.churton.school.nz,Burmah Street,Aramoho,Whanganui,Burmah Street,Aramoho,Whanganui,4500,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Upper Aramoho,Area Outside Ward,,,175.083795,-39.892353,3,141,83,54,4,0,0,0,0
2349,Clifton School (Bulls),06 322 1544,06 322 0872,office@clifton.school.nz,Adrian Burn,http://www.cliftonschool.co.nz,Clifton Street,,Bulls,Clifton Street,,Bulls,4818,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Bulls,Bulls Ward,99078,South Rangitikei Community of Learning,175.378622,-40.17967,4,177,91,68,14,3,1,0,0
2350,Cloverlea School,06 357 3955,06 354 2475,principal@cloverlea.school.nz,Leiana Lambert,http://www.cloverlea.school.nz,55 Herbert Avenue,Cloverlea,Palmerston North,55 Herbert Avenue,Cloverlea,Palmerston North,4412,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Cloverlea,Area Outside Ward,,,175.584798,-40.345266,3,316,186,91,19,10,9,1,0
2351,TKKM o Otepoti,03 488 4722,03 488 4723,kura@otepoti.school.nz,Tiahuia Kawe-Small,http://www.otepoti.school.nz,378 Main South Road,Fairfield,Dunedin,378 Main South Road,Fairfield,Dunedin,9018,Main Urban Area,Full Primary,Kura Kaupapa Maori,State,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Fairfield,Area Outside Ward,,,170.410354,-45.900146,2,33,1,32,0,0,0,0,0
